time_s,voltage_V,current_A,soc_thuc,Total (mAh)
140.231,3.676,801.3,0.0266125,31.935
141.224,3.672,798.6,0.0267975,32.157
142.234,3.676,798.3,0.0269825,32.379
143.23,3.672,798.3,0.0271675,32.601
144.225,3.68,796.4,0.027351667,32.822
145.231,3.68,800.8,0.027536667,33.044
146.225,3.68,795.3,0.027720833,33.265
147.238,3.684,797.7,0.027905833,33.487
148.231,3.684,795.1,0.02809,33.708
149.228,3.684,795.8,0.028274167,33.929
150.234,3.684,795,0.0284575,34.149
151.227,3.688,796.9,0.0286425,34.371
152.237,3.688,792,0.028825833,34.591
153.233,3.692,792.3,0.029009167,34.811
154.228,3.692,794.6,0.029193333,35.032
155.235,3.692,791.6,0.029375833,35.251
156.228,3.692,791.7,0.029559167,35.471
157.226,3.696,790.9,0.0297425,35.691
158.228,3.692,790.2,0.029925833,35.911
159.227,3.696,788.8,0.030108333,36.13
160.235,3.696,792.7,0.030291667,36.35
161.236,3.7,786.9,0.030473333,36.568
162.224,3.7,786.4,0.030655833,36.787
163.236,3.7,785.7,0.0308375,37.005
164.233,3.704,787.3,0.03102,37.224
165.228,3.704,786.5,0.031201667,37.442
166.225,3.704,788.8,0.031384167,37.661
167.236,3.704,784.3,0.031565833,37.879
168.233,3.708,782.7,0.0317475,38.097
169.233,3.704,782.3,0.031928333,38.314
170.229,3.704,784.5,0.03211,38.532
171.226,3.708,783.4,0.032291667,38.75
172.235,3.708,785.1,0.032473333,38.968
173.226,3.712,782,0.032654167,39.185
174.225,3.712,779.8,0.032834167,39.401
175.236,3.716,780.1,0.033015,39.618
176.231,3.716,779,0.033195833,39.835
177.235,3.716,780.1,0.033375833,40.051
178.23,3.716,782.1,0.0335575,40.269
179.225,3.716,778.9,0.0337375,40.485
180.223,3.716,776.3,0.0339175,40.701
181.225,3.72,776,0.034096667,40.916
182.236,3.72,775.9,0.034276667,41.132
183.232,3.72,778,0.034456667,41.348
184.227,3.724,776.8,0.034635833,41.563
185.224,3.724,775.4,0.034815833,41.779
186.233,3.724,773.3,0.034995,41.994
187.233,3.724,773.5,0.035174167,42.209
188.23,3.728,773.7,0.0353525,42.423
189.23,3.728,774.8,0.0355325,42.639
190.227,3.724,774.1,0.035711667,42.854
191.226,3.732,774,0.035890833,43.069
192.224,3.732,775.6,0.03607,43.284
193.234,3.736,770.3,0.036248333,43.498
194.232,3.728,771.7,0.036426667,43.712
195.222,3.732,771.1,0.036605833,43.927
196.226,3.732,771.2,0.036784167,44.141
197.236,3.736,770.3,0.0369625,44.355
198.227,3.736,773.6,0.037141667,44.57
199.235,3.736,767.7,0.037319167,44.783
200.226,3.736,767.5,0.037496667,44.996
201.235,3.74,767.1,0.037674167,45.209
202.228,3.74,769,0.0378525,45.423
203.226,3.74,766.1,0.03803,45.636
204.224,3.74,770.5,0.038208333,45.85
205.232,3.74,765.9,0.038385,46.062
206.224,3.744,766.5,0.0385625,46.275
207.232,3.74,766.3,0.03874,46.488
208.227,3.744,765.6,0.0389175,46.701
209.226,3.748,762.8,0.039094167,46.913
210.234,3.748,765.6,0.039270833,47.125
211.23,3.748,764.9,0.039448333,47.338
212.229,3.748,764.9,0.039625,47.55
213.223,3.748,766,0.0398025,47.763
214.227,3.748,761.5,0.039979167,47.975
215.222,3.752,760.2,0.040155,48.186
216.225,3.752,760.4,0.040330833,48.397
217.235,3.752,762.3,0.0405075,48.609
218.228,3.752,759.5,0.040683333,48.82
219.233,3.752,761.5,0.040859167,49.031
220.234,3.756,758.7,0.041035,49.242
221.232,3.752,760.2,0.041210833,49.453
222.222,3.752,760.4,0.0413875,49.665
223.23,3.756,759.2,0.0415625,49.875
224.226,3.756,756.3,0.0417375,50.085
225.227,3.76,757,0.041913333,50.296
226.232,3.76,757.2,0.042088333,50.506
227.225,3.76,758.1,0.042264167,50.717
228.235,3.76,757.1,0.042439167,50.927
229.232,3.76,756.8,0.042614167,51.137
230.229,3.764,755.7,0.042789167,51.347
231.225,3.764,755.7,0.042964167,51.557
232.234,3.764,756.3,0.043139167,51.767
233.226,3.764,753.2,0.043313333,51.976
234.226,3.768,753.3,0.043488333,52.186
235.225,3.768,752.9,0.0436625,52.395
236.232,3.764,754.7,0.043836667,52.604
237.225,3.768,754.6,0.044011667,52.814
238.231,3.768,753.1,0.044185833,53.023
239.228,3.772,756.8,0.044360833,53.233
240.224,3.772,751.2,0.044535,53.442
241.222,3.772,753,0.044709167,53.651
242.23,3.772,752.3,0.044883333,53.86
243.221,3.772,750.1,0.0450575,54.069
244.231,3.772,750.1,0.045230833,54.277
245.222,3.772,750.7,0.045404167,54.485
246.24,3.776,750.7,0.045578333,54.694
247.231,3.776,749.6,0.045751667,54.902
248.227,3.776,753,0.045925833,55.111
249.224,3.776,748.1,0.046099167,55.319
250.232,3.78,749.2,0.0462725,55.527
251.224,3.776,750.4,0.046446667,55.736
252.222,3.78,747,0.046619167,55.943
253.23,3.78,746.2,0.0467925,56.151
254.232,3.78,747.1,0.046965,56.358
255.231,3.78,747.6,0.047138333,56.566
256.229,3.78,744.6,0.047310833,56.773
257.222,3.78,745,0.0474825,56.979
258.232,3.784,744.6,0.047655,57.186
259.229,3.784,746.2,0.047828333,57.394
260.224,3.784,748.9,0.048001667,57.602
261.235,3.784,743.1,0.048173333,57.808
262.227,3.784,744.5,0.048345833,58.015
263.221,3.788,746.1,0.048518333,58.222
264.233,3.788,743.1,0.048690833,58.429
265.227,3.784,741.7,0.0488625,58.635
266.223,3.788,742.1,0.049034167,58.841
267.233,3.788,742.8,0.049205833,59.047
268.224,3.792,739.7,0.049376667,59.252
269.231,3.792,741.1,0.049548333,59.458
270.224,3.788,740.4,0.04972,59.664
271.231,3.792,741.1,0.049891667,59.87
272.221,3.792,741.4,0.050063333,60.076
273.231,3.792,739.5,0.050234167,60.281
274.22,3.792,744.1,0.050406667,60.488
275.229,3.796,740.2,0.050578333,60.694
276.226,3.796,740,0.050749167,60.899
277.222,3.796,743.4,0.050921667,61.106
278.222,3.796,739.1,0.0510925,61.311
279.23,3.796,739,0.051263333,61.516
280.225,3.796,736,0.051434167,61.721
281.235,3.8,736.5,0.051604167,61.925
282.234,3.8,737.5,0.051775,62.13
283.233,3.8,736.4,0.051945833,62.335
284.23,3.796,737.6,0.052116667,62.54
285.226,3.8,734.9,0.052286667,62.744
286.229,3.8,737.5,0.0524575,62.949
287.222,3.804,737.3,0.0526275,63.153
288.233,3.804,735.6,0.052798333,63.358
289.233,3.804,739.5,0.052969167,63.563
290.227,3.804,734.2,0.053139167,63.767
291.226,3.808,735.5,0.053309167,63.971
292.222,3.808,737.9,0.05348,64.176
293.221,3.804,732.7,0.05365,64.38
294.225,3.804,733.7,0.05382,64.584
295.222,3.808,734.2,0.05399,64.788
296.225,3.808,733.7,0.054159167,64.991
297.234,3.808,730.9,0.054328333,65.194
298.227,3.808,730.7,0.0544975,65.397
299.232,3.808,732.5,0.0546675,65.601
300.227,3.812,730.3,0.054836667,65.804
301.222,3.812,731.5,0.055005833,66.007
302.233,3.808,730,0.055175,66.21
303.227,3.812,731.2,0.055344167,66.413
304.232,3.812,734.6,0.055514167,66.617
305.222,3.812,729.6,0.055683333,66.82
306.231,3.812,730.5,0.055851667,67.022
307.22,3.812,733,0.056021667,67.226
308.231,3.812,728.4,0.05619,67.428
309.224,3.816,728.8,0.056359167,67.631
310.23,3.816,729.8,0.056528333,67.834
311.224,3.816,729.1,0.056696667,68.036
312.222,3.816,726.6,0.056865,68.238
313.219,3.816,727.8,0.057033333,68.44
314.229,3.82,728.6,0.057201667,68.642
315.229,3.816,725.8,0.05737,68.844
316.226,3.82,725.9,0.057538333,69.046
317.222,3.82,727.9,0.057706667,69.248
318.234,3.82,725.3,0.057874167,69.449
319.219,3.82,726.2,0.0580425,69.651
320.234,3.82,724.8,0.05821,69.852
321.232,3.82,726.2,0.058378333,70.054
322.227,3.824,726.3,0.058546667,70.256
323.225,3.824,724.4,0.058714167,70.457
324.225,3.82,727.6,0.0588825,70.659
325.223,3.824,725.8,0.059050833,70.861
326.23,3.824,725.2,0.059218333,71.062
327.225,3.824,728.7,0.0593875,71.265
328.221,3.828,724,0.059555,71.466
329.219,3.824,724.6,0.0597225,71.667
330.233,3.824,727.9,0.059890833,71.869
331.227,3.824,721.9,0.060058333,72.07
332.223,3.832,724,0.060225833,72.271
333.229,3.828,725.2,0.060393333,72.472
334.22,3.828,721,0.060560833,72.673
335.229,3.828,722,0.0607275,72.873
336.227,3.828,722.9,0.060895,73.074
337.22,3.828,721.9,0.0610625,73.275
338.222,3.828,719.5,0.061228333,73.474
339.221,3.832,720.5,0.061395833,73.675
340.229,3.832,721.5,0.0615625,73.875
341.23,3.836,718.8,0.061729167,74.075
342.225,3.836,718.9,0.061895,74.274
343.223,3.832,720.7,0.0620625,74.475
344.225,3.832,717.9,0.062228333,74.674
345.222,3.836,718.5,0.062395,74.874
346.234,3.832,719,0.062560833,75.073
347.231,3.836,718.5,0.0627275,75.273
348.222,3.836,719.2,0.062894167,75.473
349.22,3.836,717,0.06306,75.672
350.22,3.836,719.3,0.063226667,75.872
351.23,3.836,718.5,0.0633925,76.071
352.226,3.836,717.1,0.063558333,76.27
353.22,3.84,720.8,0.063725833,76.471
354.23,3.84,720.9,0.0638925,76.671
355.226,3.84,716,0.064058333,76.87
356.226,3.84,717.5,0.064224167,77.069
357.22,3.84,719.2,0.064390833,77.269
358.232,3.84,716.4,0.064556667,77.468
359.229,3.84,715.2,0.064721667,77.666
360.225,3.84,717.3,0.064888333,77.866
361.22,3.844,717,0.065054167,78.065
362.232,3.84,713.9,0.065219167,78.263
363.231,3.844,715,0.065385,78.462
364.228,3.844,715.9,0.065550833,78.661
365.227,3.844,713.1,0.065715833,78.859
366.225,3.844,713.2,0.065880833,79.057
367.22,3.84,715.5,0.066046667,79.256
368.23,3.844,713.5,0.066211667,79.454
369.222,3.844,714.2,0.066376667,79.652
370.223,3.844,713.2,0.066541667,79.85
371.219,3.844,714.8,0.0667075,80.049
372.22,3.848,714.6,0.0668725,80.247
373.226,3.844,711.7,0.0670375,80.445
374.225,3.848,715.7,0.067203333,80.644
375.226,3.848,714.3,0.067368333,80.842
376.218,3.848,713.3,0.067533333,81.04
377.226,3.848,717.4,0.0677,81.24
378.223,3.848,713.6,0.067865,81.438
379.23,3.848,713.2,0.06803,81.636
380.232,3.848,716.7,0.068195833,81.835
381.224,3.848,711.4,0.068360833,82.033
382.22,3.848,713.5,0.068525833,82.231
383.219,3.848,715.7,0.068691667,82.43
384.217,3.848,710.4,0.068855833,82.627
385.229,3.848,712.9,0.069020833,82.825
386.23,3.848,714.4,0.069186667,83.024
387.224,3.848,711.8,0.069350833,83.221
388.222,3.848,710.5,0.069515833,83.419
389.223,3.852,711.7,0.06968,83.616
390.218,3.848,713,0.069845,83.814
391.227,3.852,710,0.07001,84.012
392.223,3.852,710.9,0.070174167,84.209
393.219,3.852,711.7,0.070339167,84.407
394.232,3.852,709.2,0.070503333,84.604
395.221,3.848,709.8,0.0706675,84.801
396.228,3.852,711.7,0.0708325,84.999
397.219,3.856,708.9,0.070996667,85.196
398.225,3.852,709.6,0.071160833,85.393
399.224,3.852,711.3,0.071325,85.59
400.217,3.856,708.7,0.071489167,85.787
401.229,3.856,709.4,0.071653333,85.984
402.224,3.852,709.9,0.0718175,86.181
403.226,3.856,709.5,0.071981667,86.378
404.22,3.852,710.6,0.072146667,86.576
405.221,3.852,709.1,0.072310833,86.773
406.23,3.852,710.6,0.072475,86.97
407.218,3.852,710.5,0.07264,87.168
408.23,3.852,707.9,0.072803333,87.364
409.229,3.856,711.2,0.072968333,87.562
410.225,3.856,710.2,0.0731325,87.759
411.219,3.852,708.4,0.073296667,87.956
412.227,3.852,711.9,0.073461667,88.154
413.225,3.852,709.9,0.073625833,88.351
414.224,3.852,709.2,0.07379,88.548
415.217,3.856,713.1,0.073955,88.746
416.229,3.856,709,0.074119167,88.943
417.229,3.856,709.6,0.074283333,89.14
418.223,3.856,713.2,0.074448333,89.338
419.217,3.856,708.6,0.0746125,89.535
420.219,3.856,709.9,0.074776667,89.732
421.231,3.852,713.3,0.074941667,89.93
422.217,3.852,707.3,0.075105833,90.127
423.227,3.856,709,0.07527,90.324
424.226,3.852,711.7,0.075434167,90.521
425.228,3.852,707.4,0.075598333,90.718
426.22,3.856,709.2,0.0757625,90.915
427.219,3.856,710.4,0.075926667,91.112
428.226,3.856,707.8,0.076090833,91.309
429.222,3.856,708.5,0.076255,91.506
430.221,3.86,710.1,0.076419167,91.703
431.227,3.856,708,0.0765825,91.899
432.221,3.856,707.7,0.076746667,92.096
433.219,3.856,708.5,0.076910833,92.293
434.216,3.856,709.8,0.077075,92.49
435.226,3.86,706.5,0.077238333,92.686
436.22,3.856,707.8,0.0774025,92.883
437.216,3.856,709,0.077566667,93.08
438.226,3.856,706.7,0.07773,93.276
439.224,3.856,707.6,0.077894167,93.473
440.219,3.856,709.4,0.078058333,93.67
441.219,3.856,706,0.078221667,93.866
442.227,3.856,706.5,0.078385,94.062
443.222,3.856,709.1,0.078549167,94.259
444.22,3.86,706.8,0.0787125,94.455
445.219,3.856,706.1,0.078876667,94.652
446.228,3.856,708.5,0.07904,94.848
447.226,3.86,705.7,0.079203333,95.044
448.221,3.86,706.5,0.0793675,95.241
449.229,3.86,708.7,0.079530833,95.437
450.224,3.86,706.9,0.079695,95.634
451.219,3.856,706.7,0.079858333,95.83
452.23,3.856,706.8,0.080021667,96.026
453.229,3.86,707.3,0.080185833,96.223
454.216,3.86,708.1,0.08035,96.42
455.222,3.86,705.9,0.080513333,96.616
456.22,3.856,707.9,0.080676667,96.812
457.216,3.86,708.2,0.080840833,97.009
458.23,3.86,705.7,0.081004167,97.205
459.219,3.86,708.5,0.081168333,97.402
460.229,3.86,708.1,0.0813325,97.599
461.215,3.86,705.8,0.081495833,97.795
462.224,3.86,709.6,0.08166,97.992
463.219,3.86,708.4,0.081824167,98.189
464.215,3.856,706.4,0.0819875,98.385
465.215,3.86,709.9,0.082151667,98.582
466.223,3.856,707.4,0.082315,98.778
467.231,3.856,707.6,0.082479167,98.975
468.217,3.86,711.3,0.082644167,99.173
469.227,3.86,707.8,0.0828075,99.369
470.228,3.86,706.8,0.082971667,99.566
471.222,3.86,710,0.083135833,99.763
472.22,3.86,707.4,0.083299167,99.959
473.216,3.86,708.1,0.083463333,100.156
474.217,3.86,711.1,0.0836275,100.353
475.227,3.86,706.5,0.083791667,100.55
476.222,3.86,706.8,0.083955,100.746
477.222,3.86,711.1,0.08412,100.944
478.215,3.86,704.5,0.0842825,101.139
479.225,3.86,708,0.084446667,101.336
480.215,3.86,707.4,0.08461,101.532
481.226,3.86,705.4,0.084773333,101.728
482.223,3.86,708.7,0.0849375,101.925
483.219,3.86,706.7,0.085101667,102.122
484.22,3.86,705.1,0.085264167,102.317
485.229,3.86,708.9,0.085428333,102.514
486.229,3.864,706.5,0.0855925,102.711
487.232,3.86,705.9,0.085755833,102.907
488.226,3.86,709.2,0.08592,103.104
489.221,3.864,706.7,0.086083333,103.3
490.219,3.86,706.6,0.086246667,103.496
491.216,3.86,710,0.086410833,103.693
492.226,3.864,707.2,0.086575,103.89
493.22,3.86,706.2,0.086738333,104.086
494.222,3.86,709.9,0.0869025,104.283
495.217,3.86,706.5,0.087066667,104.48
496.22,3.86,707,0.08723,104.676
497.219,3.864,710.1,0.087394167,104.873
498.219,3.86,705.3,0.0875575,105.069
499.225,3.86,706.4,0.087720833,105.265
500.226,3.86,709.7,0.087885,105.462
501.22,3.86,705.7,0.088048333,105.658
502.214,3.86,706.6,0.0882125,105.855
503.219,3.864,709.7,0.088376667,106.052
504.225,3.86,705.3,0.08854,106.248
505.228,3.864,706.5,0.088703333,106.444
506.218,3.86,710.2,0.0888675,106.641
507.215,3.864,703.8,0.089030833,106.837
508.227,3.864,706.8,0.089194167,107.033
509.222,3.864,709.7,0.089358333,107.23
510.219,3.864,703.7,0.089521667,107.426
511.215,3.86,706.2,0.089685,107.622
512.223,3.864,708.9,0.089849167,107.819
513.217,3.864,703.6,0.090011667,108.014
514.225,3.86,706.4,0.090175833,108.211
515.222,3.864,708,0.090339167,108.407
516.216,3.86,703.8,0.0905025,108.603
517.228,3.864,705.4,0.090665833,108.799
518.222,3.86,708,0.090829167,108.995
519.219,3.864,703.4,0.0909925,109.191
520.217,3.864,705.8,0.091155833,109.387
521.213,3.868,707.1,0.091319167,109.583
522.227,3.864,704.1,0.0914825,109.779
523.225,3.864,704.8,0.091645833,109.975
524.217,3.868,707.7,0.091809167,110.171
525.217,3.86,703.8,0.0919725,110.367
526.228,3.864,706.1,0.092135833,110.563
527.225,3.868,705.7,0.092299167,110.759
528.221,3.864,704.3,0.092461667,110.954
529.221,3.86,704.1,0.092625,111.15
530.221,3.864,705.8,0.092788333,111.346
531.214,3.868,704.6,0.092951667,111.542
532.218,3.864,704.8,0.093115,111.738
533.217,3.864,704.7,0.0932775,111.933
534.216,3.864,705,0.093440833,112.129
535.214,3.864,707.3,0.093605,112.326
536.226,3.864,702.9,0.0937675,112.521
537.224,3.864,704.5,0.093930833,112.717
538.22,3.864,706.7,0.094094167,112.913
539.216,3.864,702.2,0.094256667,113.108
540.226,3.868,704.8,0.09442,113.304
541.224,3.864,706.2,0.094583333,113.5
542.221,3.868,702.7,0.094745833,113.695
543.22,3.864,704.2,0.094909167,113.891
544.228,3.868,705.9,0.0950725,114.087
545.224,3.864,703.1,0.095235,114.282
546.221,3.864,704.1,0.095398333,114.478
547.22,3.864,705.9,0.095561667,114.674
548.213,3.864,703.1,0.095724167,114.869
549.226,3.868,703.8,0.0958875,115.065
550.216,3.868,705.8,0.096050833,115.261
551.214,3.868,703,0.096213333,115.456
552.224,3.868,703.6,0.096375833,115.651
553.215,3.868,705.4,0.096539167,115.847
554.213,3.868,702.9,0.096701667,116.042
555.221,3.864,703,0.096865,116.238
556.214,3.868,704.8,0.097028333,116.434
557.222,3.868,703,0.097190833,116.629
558.213,3.868,703,0.097353333,116.824
559.224,3.864,704.5,0.097516667,117.02
560.22,3.868,703.3,0.097679167,117.215
561.214,3.864,702.4,0.097841667,117.41
562.225,3.868,704.4,0.098005,117.606
563.224,3.868,703.3,0.0981675,117.801
564.219,3.868,702.7,0.09833,117.996
565.227,3.868,704.4,0.098493333,118.192
566.22,3.864,703.5,0.098656667,118.388
567.216,3.864,703.3,0.098819167,118.583
568.22,3.868,704.2,0.0989825,118.779
569.225,3.868,704.2,0.099145,118.974
570.227,3.868,701.4,0.0993075,119.169
571.227,3.868,704,0.099470833,119.365
572.222,3.868,704.2,0.099633333,119.56
573.216,3.868,701.6,0.099795833,119.755
574.213,3.868,702.9,0.099958333,119.95
575.222,3.868,704.3,0.100121667,120.146
576.212,3.868,701.5,0.100284167,120.341
577.227,3.868,702.2,0.100446667,120.536
578.222,3.868,704,0.100609167,120.731
579.222,3.868,701.1,0.100771667,120.926
580.218,3.868,701.7,0.100934167,121.121
581.216,3.868,703.4,0.101096667,121.316
582.221,3.868,704.1,0.10126,121.512
583.217,3.868,702.6,0.1014225,121.707
584.212,3.868,702.7,0.101585,121.902
585.219,3.868,704.2,0.101748333,122.098
586.218,3.868,702.6,0.101910833,122.293
587.217,3.868,702.4,0.102073333,122.488
588.216,3.872,703.7,0.102236667,122.684
589.226,3.868,703,0.102399167,122.879
590.222,3.872,701.8,0.102561667,123.074
591.216,3.868,704,0.102725,123.27
592.214,3.868,702.9,0.1028875,123.465
593.214,3.868,701.1,0.10305,123.66
594.222,3.872,703.3,0.1032125,123.855
595.221,3.868,703.6,0.103375,124.05
596.216,3.868,701.9,0.1035375,124.245
597.212,3.868,702.6,0.1037,124.44
598.222,3.868,704.1,0.103863333,124.636
599.222,3.872,700.8,0.104025833,124.831
600.213,3.868,702,0.104188333,125.026
601.211,3.872,702.9,0.104350833,125.221
602.212,3.872,700.9,0.104513333,125.416
603.222,3.872,701.2,0.104675,125.61
604.224,3.872,703.8,0.104838333,125.806
605.216,3.872,701,0.105000833,126.001
606.219,3.872,701.2,0.1051625,126.195
607.212,3.872,702.8,0.105325833,126.391
608.226,3.872,700.5,0.1054875,126.585
609.217,3.868,701.2,0.10565,126.78
610.226,3.868,702.6,0.1058125,126.975
611.219,3.872,701.5,0.105975,127.17
612.226,3.868,700.8,0.1061375,127.365
613.214,3.872,702.8,0.1063,127.56
614.224,3.872,700.2,0.106461667,127.754
615.212,3.872,700.9,0.106624167,127.949
616.211,3.872,703.1,0.106786667,128.144
617.217,3.872,700,0.106949167,128.339
618.215,3.868,700.9,0.107111667,128.534
619.225,3.872,703.4,0.107274167,128.729
620.225,3.872,700.4,0.107436667,128.924
621.221,3.868,700.7,0.107598333,129.118
622.217,3.872,703.4,0.107761667,129.314
623.212,3.872,700.5,0.107923333,129.508
624.222,3.872,700.1,0.108085833,129.703
625.218,3.872,702.4,0.108248333,129.898
626.217,3.872,699.6,0.10841,130.092
627.226,3.872,700.2,0.1085725,130.287
628.217,3.872,699.8,0.108734167,130.481
629.222,3.872,702.2,0.108896667,130.676
630.214,3.872,702.6,0.109059167,130.871
631.218,3.876,699.4,0.109220833,131.065
632.223,3.876,701.7,0.109383333,131.26
633.219,3.872,702.5,0.109545833,131.455
634.22,3.872,699.5,0.109708333,131.65
635.213,3.872,700.8,0.10987,131.844
636.212,3.872,701.9,0.1100325,132.039
637.21,3.872,699.1,0.110195,132.234
