Time_s,Current_A,V_measured_V,V_estimated_V,OCV_V,SOC_estimated,R0_Ohm,Up_RC_V,V_error_V,SOC_actual,SOC_error_percent
0.0,0.0,4.128,4.1209999999996825,4.1209999999996825,1.0,0.09985300899998362,-0.0033430515832855705,0.007000000000317641,1.0,0.0
0.0,-1.0000000000000001e-07,4.128,4.124341875721334,4.120999999992188,1.0,0.09985300899998362,-0.004501117271166955,0.003658124278666186,1.0,0.0
0.0,1.0000000000000001e-07,4.124,4.125499557533319,4.121000000007403,0.9998840609848241,0.09985300899998362,-0.004139488718549727,-0.0014995575333189848,1.0,0.011593901517592542
0.0,0.0,4.124,4.125100657570133,4.120962620897215,0.9998122084065969,0.09987256268447964,-0.003923060608780994,-0.0011006575701335564,1.0,0.018779159340309715
0.0,-1.0000000000000001e-07,4.124,4.124860961971373,4.120939292454067,0.9997629133160868,0.09988461104622902,-0.0037780989652000663,-0.0008609619713730865,1.0,0.02370866839132013
0.0,-2.0000000000000002e-07,4.124,4.12469996147499,4.120923215856493,0.9997267828816252,0.0998928460549601,-0.0036736193621323067,-0.000699961474990296,1.0,0.027321711837480223
0.0,3e-07,4.128,4.1245837460889,4.120911395591857,0.9998890743063186,0.09989886590584769,-0.004128661796256648,0.003416253911099787,1.0,0.011092569368142957
0.0,0.0,4.128,4.125091457842126,4.120964243929176,1.0,0.09987172004745472,-0.004489669016397352,0.002908542157873839,1.0,0.0
0.0,-1.0000000000000001e-07,4.128,4.125488093279582,4.120999999992188,1.0,0.09985300899998362,-0.004783916694699899,0.0025119067204180112,1.0,0.0
0.0,1.0000000000000001e-07,4.124,4.125782258332517,4.121000000007403,0.9999387734806753,0.09985300899998362,-0.004582720704291385,-0.00178225833251755,1.0,0.0061226519324719675
0.0,1.0000000000000001e-07,4.124,4.125561428478315,4.1209803008973465,0.9998848408096654,0.0998633525360803,-0.004413947181673427,-0.0015614284783156407,1.0,0.011515919033455724
0.817,0.0,4.128,4.125375272323082,4.120962873400683,0.9999759606668214,0.09987243162893907,-0.004683346780666604,0.002624727676917793,1.0,0.0024039333178627054
1.809,0.0,4.128,4.125673987895678,4.120992276372192,1.0,0.09985707481983035,-0.004916893157519624,0.0023260121043220394,1.0,0.0
2.813,0.0,4.124,4.125915178424873,4.1209999999996825,0.9999411065101568,0.09985300899998362,-0.004725445294825875,-0.0019151784248734316,1.0,0.005889348984322584
3.816,-2.0000000000000002e-07,4.128,4.12570482564037,4.120981053170111,1.0,0.09986295911019115,-0.004946203454330417,0.0022951743596300034,1.0,0.0
4.818,1.0000000000000001e-07,4.128,4.125944488495768,4.121000000007403,1.0,0.09985300899998362,-0.005141641140782786,0.0020555115042322214,1.0,0.0
5.808,2.0000000000000002e-07,4.128,4.126139868019919,4.1210000000145115,1.0,0.09985300899998362,-0.005316140416319287,0.001860131980080837,1.0,0.0
6.808,-2.0000000000000002e-07,4.128,4.126314266457883,4.120999999984853,1.0,0.09985300899998362,-0.005472491986556549,0.001685733542116985,1.0,0.0
7.809,1.0000000000000001e-07,4.128,4.126470593488524,4.121000000007403,1.0,0.09985300899998362,-0.005612973103430344,0.001529406511475706,1.0,0.0
8.809,1.0000000000000001e-07,4.124,4.126611025613585,4.121000000007403,0.9999226185754225,0.09985300899998362,-0.005369511925613322,-0.0026110256135849497,1.0,0.007738142457747177
9.807,1.0000000000000001e-07,4.124,4.126342730115069,4.120975088069364,0.9998488933378805,0.09986607523734521,-0.005153395346160719,-0.002342730115069358,1.0,0.015110666211948232
10.81,2.0000000000000002e-07,4.124,4.12610282298495,4.120951218554625,0.9997793568738397,0.09987846633071307,-0.004961151338592109,-0.0021028229849502367,1.0,0.022064312616032478
11.816,1.0000000000000001e-07,4.124,4.125887996998784,4.120928585107634,0.9997143360571064,0.09989010186050513,-0.004789833686178995,-0.0018879969987839473,1.0,0.02856639428936436
12.821,0.0,4.128,4.125695455388673,4.120907316252428,0.9997963642787453,0.09990093660829963,-0.004993680526708264,0.0023045446113272305,1.0,0.020363572125470242
13.81,-1.0000000000000001e-07,4.132,4.12592604271765,4.120934131589673,0.9999971164383474,0.09988726063032008,-0.005536899451499084,0.006073957282350051,1.0,0.00028835616525668684
14.819,1.0000000000000001e-07,4.124,4.126534052488003,4.12099907428313,0.9999267425224666,0.09985349701943745,-0.005304038639088888,-0.0025340524880030912,1.0,0.0073257477533394955
15.822,-3e-07,4.124,4.126278571452986,4.120976419344662,0.9998589180925364,0.09986538045655054,-0.0050961939936642366,-0.0022785714529867107,1.0,0.014108190746364713
16.814,-0.0003608,4.092,4.126012803162697,4.120954444816352,0.9987866288654443,0.09987678476487412,-0.002041256213585238,-0.03401280316269695,0.9999,0.1113371134555674
17.808,-1.0000000000000001e-07,4.124,4.122633409608712,4.120592919968716,0.9988660714960628,0.10005082046046264,-0.0021520147002226154,0.0013665903912878363,0.9999,0.10339285039372426
18.812,-1.0000000000000001e-07,4.124,4.122771844481417,4.1206206342333775,0.9989318201914088,0.10003832646409301,-0.002252910136649356,0.0012281555185822413,0.9999,0.09681798085912074
19.822,1.0000000000000001e-07,4.124,4.122895551384452,4.120643460196515,0.9989867482072595,0.10002793819582634,-0.002344653016368504,0.001104448615548037,0.9999,0.09132517927404882
20.814,-0.0003611,4.088,4.122970088811622,4.120662423389652,0.9973578719690854,0.10001922624373254,0.0006176315594742183,-0.03497008881162156,0.9998,0.2442128030914592
21.822,-0.0003612,4.088,4.119416243022595,4.120069854859593,0.9946955632721927,0.10026487726335473,0.002896851420018393,-0.03141624302259505,0.9997,0.5004436727807371
22.81,-0.0003611,4.084,4.116045235298904,4.118977111684091,0.9902718251555653,0.1006122225280633,0.004644662845339705,-0.03204523529890402,0.9997,0.94281748444347
23.82,-0.000361,4.084,4.112177852822261,4.116856385255455,0.9844559980230174,0.10105397479992496,0.005463889677473166,-0.02817785282226115,0.9996,1.5144001976982624
24.812,-0.0003609,4.084,4.108086338292225,4.113582792725428,0.9781979838790618,0.10141216730811183,0.005582874849323649,-0.02408633829222495,0.9995,2.1302016120938294
25.818,-0.0003609,4.08,4.103968588029095,4.109582752316383,0.9715085256732638,0.10156642896914221,0.0053536873035108365,-0.02396858802909474,0.9994,2.789147432673611
26.808,-0.0003609,4.08,4.099535554063991,4.104919401845921,0.9661617783001184,0.10152574032777083,0.005056169363131755,-0.019535554063990546,0.9993,3.3138221699881565
27.813,-0.0003606,4.08,4.095919812643468,4.101005523632327,0.9621818408486879,0.10137831108750917,0.004864875747541872,-0.015919812643468312,0.9992,3.7018159151312124
28.82,-0.0003608,4.08,4.093135373034921,4.09802951345581,0.9592568344952895,0.10121915727880174,0.004797351697953571,-0.013135373034921294,0.9992,3.9943165504710443
29.811,-0.0003606,4.08,4.090998516957867,4.095824889608969,0.9570827335705515,0.10108158080597124,0.004825800192916074,-0.010998516957866578,0.9991,4.201726642944847
30.821,-0.0003606,4.076,4.089328246308982,4.0941828306874655,0.9547319659694392,0.10097034739032858,0.0049628798372482325,-0.01332824630898255,0.999,4.426803403056079
31.81,-0.0003608,4.072,4.0874172687493955,4.092408571057263,0.952291540108284,0.10084317354134092,0.005232763309528139,-0.015417268749395419,0.9989,4.6608459891716025
32.812,-0.00036070000000000004,4.076,4.085311697723074,4.090572313913233,0.9509649830819131,0.10070521002928053,0.00545653440615452,-0.009311697723074275,0.9988,4.78350169180869
33.814,-0.00036070000000000004,4.076,4.084094145145395,4.089578120585147,0.949914460305808,0.10062826281585337,0.005697169694399688,-0.008094145145395082,0.9987,4.878553969419208
34.815,-0.00036020000000000003,4.076,4.083069207822332,4.088793347590405,0.9490714434256039,0.10056656976520195,0.005942455271986572,-0.007069207822332224,0.9987,4.962855657439613
35.819,-0.00036030000000000003,4.076,4.082196429749002,4.088165448434426,0.9483869771635425,0.10051666854360769,0.006184088423371431,-0.0061964297490026965,0.9986,5.021302283645756
36.817,-0.0003606,4.072,4.08144670051143,4.087656979035496,0.9474131174374419,0.10047594017591083,0.00659472363881057,-0.009446700511429817,0.9985,5.108688256255811
37.806,-0.00036020000000000003,4.072,4.080315569862711,4.086935767399255,0.9466133085755212,0.10041773075399378,0.00698686957734762,-0.008315569862711314,0.9984,5.178669142447879
38.807,-0.0003599,4.072,4.07933388990362,4.086345565471215,0.9459503805663143,0.1003697517961923,0.007355722654217156,-0.007333889903620161,0.9983,5.234961943368566
39.811,-0.0003598,4.072,4.078477988473492,4.085857912405366,0.9453962717331951,0.100329903221298,0.007698612910323901,-0.006477988473491791,0.9982,5.280372826680491
40.818,-0.0003598,4.068,4.077729167803934,4.085451432780353,0.944603772823904,0.10029656056906124,0.008243583160295357,-0.009729167803934402,0.9982,5.359622717609602
41.821,-0.00035999999999999997,4.068,4.076605552703742,4.0848719410478,0.943938348713303,0.1002488499081023,0.008745829174048448,-0.008605552703742525,0.9981,5.416165128669704
42.811,-0.0003598,4.072,4.075619317359505,4.084387138446249,0.9436708484135813,0.10020879730111026,0.008956613407293914,-0.0036193173595044925,0.998,5.432915158641871
43.814,-0.0003599,4.068,4.075214435079538,4.084192719130258,0.9431531596880942,0.1001927044395969,0.009400713250934032,-0.007214435079538006,0.9979,5.47468403119058
44.821,-0.0003599,4.068,4.074395564071635,4.0838172519453435,0.942710216816985,0.10016158211725922,0.00980272504176108,-0.006395564071635107,0.9978,5.508978318301505
45.81,-0.00036030000000000003,4.068,4.073673728455063,4.083496840972898,0.9423289570425526,0.10013498366085961,0.010164952512546302,-0.005673728455063198,0.9977,5.537104295744744
46.817,-0.0003597,4.068,4.0730369718169825,4.08322168873603,0.9419990159463166,0.1001121174883725,0.010490069164276649,-0.005036971816982927,0.9977,5.5700984053683396
47.82,-0.0003598,4.068,4.072474719307118,4.082984059326186,0.9417121102168172,0.10009235398491237,0.010780906256333586,-0.004474719307117958,0.9976,5.5887889783182825
48.812,-0.0003599,4.068,4.07197805986837,4.082777797883232,0.9414615456450321,0.10007518941771076,0.011040335511263781,-0.0039780598683707424,0.9975,5.60384543549679
49.821,-0.0003597,4.068,4.0715392029715405,4.082597950708514,0.9412418650815776,0.10006021665139812,0.011271173697221405,-0.003539202971540867,0.9974,5.615813491842236
50.81,-0.00035959999999999996,4.064,4.071151273257746,4.082440494592957,0.9408033547604469,0.10004710396391515,0.01175901482459248,-0.007151273257745672,0.9973,5.649664523955311
51.818,-0.0003595,4.064,4.070350520726318,4.082126825479612,0.9404221615081331,0.10002097354209757,0.012195108567546497,-0.006350520726318365,0.9972,5.6777838491866905
52.81,-0.00035959999999999996,4.064,4.069643109006909,4.081854851993362,0.9400891487623185,0.09999831064724989,0.012583868416611257,-0.0056431090069093415,0.9972,5.711085123768145
53.817,-0.00035959999999999996,4.064,4.069017881513989,4.081617793385181,0.9397969553956211,0.09997855536632129,0.012929613009136486,-0.00501788151398852,0.9971,5.730304460437885
54.808,-0.00035959999999999996,4.064,4.0684650796967725,4.081410212477474,0.939539591756463,0.09996125710556641,0.013236469394305034,-0.004465079696772456,0.997,5.746040824353704
55.815,-0.00035959999999999996,4.064,4.067976178626744,4.081227704576018,0.9393121352200928,0.09994604987117964,0.013508316653726444,-0.0039761786267442645,0.9969,5.758786477990718
56.819,-0.0003597,4.064,4.067543690312775,4.08106666445958,0.9391105022719347,0.09993263352956401,0.0137487542810417,-0.0035436903127745722,0.9968,5.768949772806531
57.81,-0.00035959999999999996,4.064,4.067161071837099,4.0809241129210605,0.9389312732213804,0.09992075972312245,0.013961092858329497,-0.0031610718370993496,0.9967,5.776872677861967
58.82,-0.00035959999999999996,4.064,4.066822501833501,4.080797563901379,0.9387715636566452,0.09991022102135377,0.014148349814172529,-0.0028225018335010787,0.9967,5.792843634335487
59.807,-0.0003592,4.06,4.066522927780415,4.0806849275604735,0.9384028915683514,0.09990084293968013,0.014609981742709376,-0.006522927780415522,0.9966,5.81971084316486
60.815,-0.0003592,4.06,4.06580244887263,4.080425392225275,0.9380793782116071,0.09987924265128378,0.015020461844662021,-0.0058024488726307055,0.9965,5.842062178839291
61.82,-0.0003592,4.056,4.065165383679714,4.080198197542875,0.9375734794507509,0.0998603456471024,0.01568498000309179,-0.00916538367971409,0.9964,5.882652054924908
62.813,-0.0003595,4.06,4.064147585432785,4.0798439643183695,0.9373493608469267,0.09983090882220642,0.015975053628208596,-0.004147585432785483,0.9963,5.895063915307331
63.815,-0.0003593,4.064,4.063701442170199,4.079687448127436,0.9373653873539554,0.09981791432714675,0.015927478851474487,0.00029855782980092727,0.9962,5.8834612646044615
64.809,-0.00035959999999999996,4.06,4.063760098435895,4.079698631918484,0.9371593238368346,0.09981884257883947,0.01618616368820331,-0.0037600984358956424,0.9962,5.904067616316533
65.814,-0.0003592,4.06,4.0633581342809615,4.079554933993747,0.9369756059137435,0.09980691902852432,0.016414419779547187,-0.0033581342809618775,0.9961,5.912439408625647
66.817,-0.000359,4.06,4.063002299663793,4.0794270025375425,0.936811389544987,0.099796309996762,0.01661555476479009,-0.0030022996637937283,0.996,5.9188610455013
67.808,-0.0003592,4.06,4.062687233018169,4.079312798468524,0.9366642598871722,0.09978684464393969,0.01679255570760265,-0.0026872330181690884,0.9959,5.923574011282784
68.813,-0.0003595,4.064,4.062408256335904,4.079210596290327,0.9367514413550233,0.09977837847771821,0.016646412597964715,0.0015917436640959792,0.9958,5.904855864497671
69.818,-0.0003589,4.056,4.062614789525822,4.079271142504322,0.9363820636633371,0.09978339344567261,0.01711527633648387,-0.006614789525821507,0.9958,5.941793633666292
70.81,-0.0003591,4.056,4.061890331868624,4.079014888308729,0.9360585113385418,0.09976217895872458,0.017532719454454632,-0.005890331868624088,0.9957,5.964148866145824
71.816,-0.000359,4.06,4.061249629362566,4.078791015573161,0.9359906250575366,0.09974366960384663,0.017600302191654222,-0.0012496293625661181,0.9956,5.960937494246343
72.807,-0.0003589,4.056,4.061135250446042,4.078744114147858,0.9357096252089666,0.09973979496061826,0.017960933644490782,-0.005135250446041795,0.9955,5.979037479103344
73.815,-0.0003591,4.056,4.0605812414871565,4.078550238246745,0.9354611966558182,0.09972379033633343,0.018280682489355972,-0.00458124148715644,0.9954,5.9938803344181775
74.805,-0.0003592,4.056,4.060090890948394,4.078379188568911,0.9352406701956777,0.0997096867529205,0.018563664410932965,-0.004090890948393877,0.9953,6.0059329804322275
75.807,-0.0003591,4.056,4.059656764701994,4.078227630418416,0.9350442146492376,0.09969720414394273,0.018813694501237287,-0.003656764701993609,0.9953,6.025578535076237
