[2026-01-18 20:37:26.086] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.086] V:4.160 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.086] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.086] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.086] V:4.160 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.086] V:4.160 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.097] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.097] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.097] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.097] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.097] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.097] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:26.177] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:27.182] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:28.171] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:29.171] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:30.177] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:31.187] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:32.193] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:33.194] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:34.197] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:35.197] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:36.196] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:37.199] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:38.190] V:4.172 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:39.206] V:4.172 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:40.193] V:4.172 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:41.206] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:42.205] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:43.206] V:4.172 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:44.212] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:45.215] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:46.212] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:47.216] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:48.214] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:49.220] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:50.225] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:51.218] V:4.164 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:52.229] V:4.160 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:53.227] V:4.168 | I:0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:54.222] V:4.168 | I:-0.000 | Soc_k:100.0% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:56.422] V:4.124 | I:-0.374 | Soc_k:82.9% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:57.424] V:4.124 | I:-0.372 | Soc_k:84.3% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:58.429] V:4.124 | I:-0.370 | Soc_k:85.3% | Soc_c:100.0% | state:CHG
[2026-01-18 20:37:59.430] V:4.124 | I:-0.370 | Soc_k:86.1% | Soc_c:100.0% | state:CHG
[2026-01-18 20:38:00.443] V:4.124 | I:-0.370 | Soc_k:86.8% | Soc_c:100.0% | state:CHG
[2026-01-18 20:38:01.442] V:4.112 | I:-0.369 | Soc_k:87.2% | Soc_c:100.0% | state:CHG
[2026-01-18 20:38:02.447] V:4.124 | I:-0.370 | Soc_k:87.8% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:03.438] V:4.112 | I:-0.370 | Soc_k:88.1% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:04.443] V:4.108 | I:-0.370 | Soc_k:88.4% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:05.448] V:4.116 | I:-0.370 | Soc_k:88.7% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:06.452] V:4.112 | I:-0.369 | Soc_k:89.0% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:07.458] V:4.108 | I:-0.369 | Soc_k:89.3% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:08.460] V:4.108 | I:-0.369 | Soc_k:89.5% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:09.457] V:4.112 | I:-0.369 | Soc_k:89.8% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:10.449] V:4.112 | I:-0.368 | Soc_k:90.0% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:11.460] V:4.112 | I:-0.368 | Soc_k:90.3% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:12.468] V:4.108 | I:-0.368 | Soc_k:90.5% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:13.467] V:4.112 | I:-0.368 | Soc_k:90.8% | Soc_c:99.9% | state:CHG
[2026-01-18 20:38:14.468] V:4.104 | I:-0.367 | Soc_k:90.9% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:15.469] V:4.104 | I:-0.367 | Soc_k:91.1% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:16.476] V:4.104 | I:-0.367 | Soc_k:91.3% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:17.474] V:4.100 | I:-0.367 | Soc_k:91.4% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:18.474] V:4.100 | I:-0.367 | Soc_k:91.5% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:19.479] V:4.104 | I:-0.366 | Soc_k:91.7% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:20.474] V:4.100 | I:-0.366 | Soc_k:91.8% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:21.487] V:4.100 | I:-0.366 | Soc_k:91.9% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:22.488] V:4.100 | I:-0.367 | Soc_k:92.1% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:23.476] V:4.104 | I:-0.367 | Soc_k:92.2% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:24.480] V:4.100 | I:-0.367 | Soc_k:92.3% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:25.483] V:4.096 | I:-0.366 | Soc_k:92.4% | Soc_c:99.8% | state:CHG
[2026-01-18 20:38:26.490] V:4.100 | I:-0.367 | Soc_k:92.5% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:27.493] V:4.092 | I:-0.366 | Soc_k:92.6% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:28.501] V:4.100 | I:-0.366 | Soc_k:92.7% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:29.490] V:4.092 | I:-0.367 | Soc_k:92.8% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:30.499] V:4.096 | I:-0.366 | Soc_k:92.9% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:31.500] V:4.096 | I:-0.366 | Soc_k:92.9% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:32.502] V:4.100 | I:-0.367 | Soc_k:93.1% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:33.504] V:4.096 | I:-0.367 | Soc_k:93.1% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:34.504] V:4.100 | I:-0.366 | Soc_k:93.3% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:35.505] V:4.100 | I:-0.366 | Soc_k:93.4% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:36.503] V:4.088 | I:-0.366 | Soc_k:93.4% | Soc_c:99.7% | state:CHG
[2026-01-18 20:38:37.515] V:4.096 | I:-0.366 | Soc_k:93.5% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:38.513] V:4.092 | I:-0.366 | Soc_k:93.5% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:39.519] V:4.092 | I:-0.366 | Soc_k:93.6% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:40.520] V:4.096 | I:-0.366 | Soc_k:93.7% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:41.520] V:4.096 | I:-0.366 | Soc_k:93.8% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:42.522] V:4.092 | I:-0.366 | Soc_k:93.8% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:43.525] V:4.092 | I:-0.366 | Soc_k:93.9% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:44.523] V:4.088 | I:-0.366 | Soc_k:93.9% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:45.522] V:4.088 | I:-0.366 | Soc_k:94.0% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:46.534] V:4.088 | I:-0.366 | Soc_k:94.0% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:47.530] V:4.092 | I:-0.366 | Soc_k:94.1% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:48.535] V:4.084 | I:-0.366 | Soc_k:94.1% | Soc_c:99.6% | state:CHG
[2026-01-18 20:38:49.539] V:4.084 | I:-0.366 | Soc_k:94.1% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:50.532] V:4.092 | I:-0.366 | Soc_k:94.2% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:51.543] V:4.088 | I:-0.365 | Soc_k:94.2% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:52.536] V:4.084 | I:-0.366 | Soc_k:94.2% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:53.543] V:4.084 | I:-0.366 | Soc_k:94.3% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:54.538] V:4.084 | I:-0.366 | Soc_k:94.3% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:55.551] V:4.080 | I:-0.366 | Soc_k:94.3% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:56.549] V:4.088 | I:-0.366 | Soc_k:94.3% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:57.543] V:4.084 | I:-0.366 | Soc_k:94.3% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:58.560] V:4.084 | I:-0.366 | Soc_k:94.4% | Soc_c:99.5% | state:CHG
[2026-01-18 20:38:59.556] V:4.084 | I:-0.366 | Soc_k:94.4% | Soc_c:99.5% | state:CHG
[2026-01-18 20:39:00.552] V:4.084 | I:-0.366 | Soc_k:94.4% | Soc_c:99.5% | state:CHG
[2026-01-18 20:39:01.552] V:4.080 | I:-0.366 | Soc_k:94.4% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:02.561] V:4.084 | I:-0.366 | Soc_k:94.5% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:03.556] V:4.084 | I:-0.366 | Soc_k:94.5% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:04.561] V:4.080 | I:-0.366 | Soc_k:94.5% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:05.558] V:4.080 | I:-0.366 | Soc_k:94.5% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:06.572] V:4.084 | I:-0.365 | Soc_k:94.5% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:07.576] V:4.080 | I:-0.366 | Soc_k:94.5% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:08.575] V:4.080 | I:-0.366 | Soc_k:94.5% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:09.577] V:4.080 | I:-0.366 | Soc_k:94.6% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:10.577] V:4.080 | I:-0.366 | Soc_k:94.6% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:11.570] V:4.084 | I:-0.366 | Soc_k:94.6% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:12.579] V:4.076 | I:-0.366 | Soc_k:94.6% | Soc_c:99.4% | state:CHG
[2026-01-18 20:39:13.583] V:4.080 | I:-0.366 | Soc_k:94.6% | Soc_c:99.3% | state:CHG
[2026-01-18 20:39:14.591] V:4.080 | I:-0.366 | Soc_k:94.6% | Soc_c:99.3% | state:CHG
[2026-01-18 20:39:15.583] V:4.076 | I:-0.366 | Soc_k:94.6% | Soc_c:99.3% | state:CHG
[2026-01-18 20:39:16.587] V:4.080 | I:-0.365 | Soc_k:94.6% | Soc_c:99.3% | state:CHG
[2026-01-18 20:39:17.583] V:4.076 | I:-0.366 | Soc_k:94.6% | Soc_c:99.3% | state:CHG
[2026-01-18 20:39:18.597] V:4.076 | I:-0.366 | Soc_k:94.6% | Soc_c:99.3% | state:CHG
[2026-01-18 20:39:19.594] V:4.080 | I:-0.366 | Soc_k:94.6% | Soc_c:99.3% | state:CHG
[2026-01-18 20:39:20.595] V:4.080 | I:-0.366 | Soc_k:94.6% | Soc_c:99.3% | state:CHG
[2026-01-18 20:39:21.604] V:4.080 | I:-0.365 | Soc_k:94.7% | Soc_c:99.3% | state:CHG
