time_s,voltage_V,current_A,soc_k,soc_c,state,timestamp
0.0,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.086
0.0,4.16,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.086
0.0,4.164,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.086
0.0,4.168,0.0,1.0,1.0,CHG,2026-01-18 20:37:26.086
0.0,4.16,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.086
0.0,4.16,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.086
0.011,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.097
0.011,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.097
0.011,4.164,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.097
0.011,4.164,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.097
0.011,4.168,0.0,1.0,1.0,CHG,2026-01-18 20:37:26.097
0.011,4.168,0.0,1.0,1.0,CHG,2026-01-18 20:37:26.097
0.091,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:26.177
1.096,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:27.182
2.085,4.164,-0.0,1.0,1.0,CHG,2026-01-18 20:37:28.171
3.085,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:29.171
4.091,4.168,0.0,1.0,1.0,CHG,2026-01-18 20:37:30.177
5.101,4.168,0.0,1.0,1.0,CHG,2026-01-18 20:37:31.187
6.107,4.164,-0.0,1.0,1.0,CHG,2026-01-18 20:37:32.193
7.108,4.168,0.0,1.0,1.0,CHG,2026-01-18 20:37:33.194
8.111,4.164,-0.0,1.0,1.0,CHG,2026-01-18 20:37:34.197
9.111,4.164,-0.0,1.0,1.0,CHG,2026-01-18 20:37:35.197
10.11,4.168,0.0,1.0,1.0,CHG,2026-01-18 20:37:36.196
11.113,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:37.199
12.104,4.172,-0.0,1.0,1.0,CHG,2026-01-18 20:37:38.190
13.12,4.172,-0.0,1.0,1.0,CHG,2026-01-18 20:37:39.206
14.107,4.172,-0.0,1.0,1.0,CHG,2026-01-18 20:37:40.193
15.12,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:41.206
16.119,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:42.205
17.12,4.172,0.0,1.0,1.0,CHG,2026-01-18 20:37:43.206
18.126,4.168,-0.0,1.0,1.0,CHG,2026-01-18 20:37:44.212
