Time_s,V_measured_V,V_estimated_V,SOC_estimated,V_error_V,SOC_actual,SOC_error_percent
0.0,3.932,3.916480107084323,0.4030972954198004,0.015519892915676792,0.4,0.3097295419800361
0.003,3.932,3.924880913308109,0.40401145047720693,0.007119086691890875,0.4,0.40114504772069126
0.003,3.928,3.927355968353852,0.4040727135554405,0.0006440316461477913,0.4,0.4072713555440477
0.003,3.924,3.927500435301299,0.4038063801604634,-0.0035004353012992873,0.4,0.3806380160463363
0.003,3.932,3.9267584924151473,0.40414117203756733,0.005241507584852645,0.4,0.4141172037567309
0.003,3.932,3.9276314450242222,0.4043815581540324,0.004368554975777705,0.4,0.438155815403235
0.003,3.932,3.928245913253398,0.4045638720077057,0.003754086746602159,0.4,0.4563872007705694
0.003,3.932,3.9287008212557777,0.40470794230168666,0.003299178744222253,0.4,0.47079423016866406
0.003,3.936,3.929050330138259,0.40498493671127844,0.006949669861740837,0.4,0.49849367112784204
0.003,3.936,3.9297359668811107,0.40521503029386546,0.006264033118889234,0.4,0.5215030293865441
0.003,3.932,3.930293441536104,0.4052734175029613,0.0017065584638960019,0.4,0.5273417502961286
0.003,3.932,3.9304118290692482,0.4053246146791785,0.0015881709307516978,0.4,0.5324614679178497
0.217,3.932,3.9305099238080414,0.40537021147827584,0.0014900761919585115,0.4,0.5370211478275821
1.226,3.928,3.930592144930665,0.4052944306008352,-0.0025921449306651745,0.4,0.5294430600835176
3.8,3.936,3.9303824988924316,0.4054526101748912,0.005617501107568312,0.4,0.5452610174891181
4.805,3.928,3.930724364827105,0.40537874504315824,-0.0027243648271051413,0.4,0.5378745043158217
5.81,3.928,3.9305252405796085,0.4053121830965295,-0.0025252405796085675,0.4,0.5312183096529477
11.504,3.928,3.930346525344058,0.4052518338895281,-0.0023465253440582146,0.4,0.5251833889528101
13.015,3.976,3.991600913641555,0.40499199269061925,-0.015600913641554914,0.4,0.4991992690619229
14.015,3.976,3.9909133442285403,0.40475447903529876,-0.014913344228540293,0.4,0.4754479035298742
15.017,3.976,3.9902952913616967,0.40453636084962125,-0.014295291361696716,0.4,0.4536360849621224
