Time_s,Current_A,V_measured_V,V_estimated_V,OCV_V,SOC_estimated,R0_Ohm,Up_RC_V,V_error_V,SOC_actual,SOC_error_percent
0.0,-0.0,4.168,4.139949001099938,4.139949001099938,1.0,0.10460321629789168,-0.011684923039298942,0.028050998900062574,1.0,0.0
0.0,-0.0,4.16,4.151605656601445,4.139949001099938,1.0,0.10460321629789168,-0.013861087039060499,0.008394343398554938,1.0,0.0
0.0,-0.0,4.164,4.15377655614222,4.139949001099938,1.0,0.10460321629789168,-0.015785484133060315,0.010223443857779735,1.0,0.0
0.0,0.0,4.168,4.1556962978382,4.139949001099938,1.0,0.10460321629789168,-0.017599977521622387,0.01230370216179999,1.0,0.0
0.0,-0.0,4.16,4.1575064017018795,4.139949001099938,1.0,0.10460321629789168,-0.017866555197694884,0.0024935982981206806,1.0,0.0
0.0,-0.0,4.16,4.157772334487566,4.139949001099938,1.0,0.10460321629789168,-0.018057934212468683,0.0022276655124340294,1.0,0.0
0.011,-0.0,4.168,4.157963250528513,4.139949001099938,1.0,0.10460321629789168,-0.018932560762894676,0.010036749471487028,1.0,0.0
0.011,-0.0,4.168,4.158835761229397,4.139949001099938,1.0,0.10460321629789168,-0.019627763647281797,0.009164238770603461,1.0,0.0
0.011,-0.0,4.164,4.15952928231633,4.139949001099938,1.0,0.10460321629789168,-0.0199040527835693,0.004470717683669356,1.0,0.0
0.011,-0.0,4.164,4.159804903068789,4.139949001099938,1.0,0.10460321629789168,-0.02013096005150723,0.004195096931210784,1.0,0.0
0.011,0.0,4.168,4.16003126141486,4.139949001099938,1.0,0.10460321629789168,-0.020559516991657274,0.007968738585140578,1.0,0.0
0.011,0.0,4.168,4.160458781613094,4.139949001099938,1.0,0.10460321629789168,-0.020925425112805603,0.0075412183869065785,1.0,0.0
0.091,-0.0,4.168,4.160823804548982,4.139949001099938,1.0,0.10460321629789168,-0.021241116158281715,0.00717619545101833,1.0,0.0
1.096,-0.0,4.168,4.161138731891648,4.139949001099938,1.0,0.10460321629789168,-0.021515883172571436,0.006861268108352192,1.0,0.0
2.085,-0.0,4.164,4.161412834204345,4.139949001099938,1.0,0.10460321629789168,-0.02157890717765267,0.0025871657956546557,1.0,0.0
3.085,-0.0,4.168,4.16147570574514,4.139949001099938,1.0,0.10460321629789168,-0.021799386415566203,0.00652429425486023,1.0,0.0
4.091,0.0,4.168,4.161695651611532,4.139949001099938,1.0,0.10460321629789168,-0.02199517046345137,0.006304348388468384,1.0,0.0
5.101,0.0,4.168,4.161890962029171,4.139949001099938,1.0,0.10460321629789168,-0.02216986500649894,0.006109037970829512,1.0,0.0
6.107,-0.0,4.164,4.162065233960569,4.139949001099938,1.0,0.10460321629789168,-0.022184747423698595,0.0019347660394304356,1.0,0.0
7.108,0.0,4.168,4.162080080375024,4.139949001099938,1.0,0.10460321629789168,-0.02233062432091901,0.0059199196249757335,1.0,0.0
8.111,-0.0,4.164,4.1622256043746955,4.139949001099938,1.0,0.10460321629789168,-0.022333677198070338,0.001774395625304237,1.0,0.0
9.111,-0.0,4.164,4.162228649866491,4.139949001099938,1.0,0.10460321629789168,-0.0223341435960974,0.001771350133508598,1.0,0.0
10.11,0.0,4.168,4.162229115136233,4.139949001099938,1.0,0.10460321629789168,-0.022450282922675924,0.0057708848637672006,1.0,0.0
11.113,-0.0,4.168,4.162344973504795,4.139949001099938,1.0,0.10460321629789168,-0.022556117638063942,0.005655026495205107,1.0,0.0
12.104,-0.0,4.172,4.162450552190528,4.139949001099938,1.0,0.10460321629789168,-0.02276174295730571,0.009549447809471978,1.0,0.0
13.12,-0.0,4.172,4.1626556800720484,4.139949001099938,1.0,0.10460321629789168,-0.022952059624020377,0.009344319927951261,1.0,0.0
14.107,-0.0,4.172,4.162845536334912,4.139949001099938,1.0,0.10460321629789168,-0.023128593077406,0.00915446366508732,1.0,0.0
15.12,-0.0,4.168,4.163021642728055,4.139949001099938,1.0,0.10460321629789168,-0.023194644829379427,0.004978357271944844,1.0,0.0
16.119,-0.0,4.168,4.16308753469118,4.139949001099938,1.0,0.10460321629789168,-0.023255085508930205,0.004912465308819947,1.0,0.0
17.12,0.0,4.172,4.163147829155887,4.139949001099938,1.0,0.10460321629789168,-0.023402430505088542,0.008852170844112273,1.0,0.0
18.126,-0.0,4.168,4.16329481770295,4.139949001099938,1.0,0.10460321629789168,-0.02345086037138566,0.004705182297049859,1.0,0.0
19.129,-0.0,4.164,4.163343130410318,4.139949001099938,1.0,0.10460321629789168,-0.02340838054905907,0.0006568695896813637,1.0,0.0
20.126,-0.0,4.164,4.163300753352894,4.139949001099938,1.0,0.10460321629789168,-0.023366511920415334,0.0006992466471054115,1.0,0.0
21.13,0.0,4.168,4.163258986010587,4.139949001099938,1.0,0.10460321629789168,-0.023407452343109238,0.00474101398941329,1.0,0.0
22.128,-0.0,4.168,4.163299827392411,4.139949001099938,1.0,0.10460321629789168,-0.023445035159552815,0.004700172607589259,1.0,0.0
23.134,-0.0,4.168,4.163337319290525,4.139949001099938,1.0,0.10460321629789168,-0.02347952574032898,0.004662680709475175,1.0,0.0
24.139,-0.0,4.168,4.1633717264335415,4.139949001099938,1.0,0.10460321629789168,-0.02351116357426585,0.004628273566458674,1.0,0.0
25.132,-0.0,4.164,4.163403287730931,4.139949001099938,1.0,0.10460321629789168,-0.023465434799512245,0.0005967122690684334,1.0,0.0
26.143,-0.0,4.16,4.163357669580772,4.139949001099938,0.9999063323415406,0.10460321629789168,-0.02334728247109569,-0.0033576695807715495,1.0,0.00936676584594176
