time_s,voltage_V,current_A,soc_thuc
0.0,3.352,0.589,0.00015
1.009,3.356,0.589,0.00028333333333333335
2.006,3.36,0.589,0.00042500000000000003
3.0,3.36,0.589,0.0005583333333333333
4.002,3.368,0.589,0.0007
5.004,3.368,0.589,0.0008333333333333334
6.007,3.368,0.589,0.0009666666666666666
7.008,3.376,0.588,0.0011083333333333333
8.021,3.38,0.589,0.0012416666666666667
9.018,3.384,0.589,0.001375
10.021,3.384,0.588,0.0015166666666666668
11.02,3.392,0.588,0.00165
12.028,3.392,0.588,0.0017916666666666667
13.034,3.396,0.588,0.001925
14.025,3.4,0.588,0.0020583333333333335
15.036,3.4,0.588,0.0022
16.04,3.404,0.588,0.002333333333333333
17.041,3.408,0.588,0.0024666666666666665
18.03,3.408,0.588,0.002608333333333333
19.038,3.408,0.588,0.0027416666666666666
20.038,3.416,0.588,0.0028833333333333332
21.047,3.42,0.588,0.0030166666666666666
22.052,3.42,0.588,0.00315
23.042,3.424,0.588,0.0032916666666666667
24.048,3.424,0.588,0.003425
25.054,3.428,0.587,0.003558333333333333
26.045,3.432,0.588,0.0037
27.062,3.436,0.588,0.003833333333333333
28.053,3.432,0.588,0.003966666666666666
29.058,3.44,0.587,0.004108333333333333
30.06,3.444,0.587,0.004241666666666666
31.065,3.444,0.587,0.004375
32.07,3.444,0.588,0.004516666666666666
33.072,3.444,0.587,0.0046500000000000005
34.074,3.452,0.587,0.004783333333333334
35.074,3.452,0.587,0.004925
36.072,3.456,0.587,0.005058333333333334
37.068,3.456,0.587,0.0052
38.072,3.46,0.587,0.005333333333333334
39.076,3.46,0.587,0.0054666666666666665
40.083,3.464,0.587,0.005608333333333334
41.084,3.468,0.587,0.005741666666666667
42.08,3.468,0.587,0.005875
43.083,3.472,0.587,0.006016666666666667
44.092,3.472,0.587,0.00615
45.096,3.472,0.587,0.0062833333333333335
46.086,3.476,0.587,0.006425
47.092,3.476,0.587,0.0065583333333333335
48.099,3.48,0.587,0.006691666666666666
49.104,3.48,0.587,0.006833333333333333
50.093,3.484,0.587,0.006966666666666666
51.096,3.488,0.586,0.0070999999999999995
52.101,3.484,0.587,0.007241666666666666
53.102,3.492,0.587,0.007375
54.108,3.492,0.587,0.007508333333333333
55.106,3.492,0.586,0.00765
56.113,3.496,0.586,0.007783333333333333
57.117,3.496,0.586,0.007916666666666667
58.108,3.496,0.586,0.00805
59.122,3.496,0.586,0.008191666666666667
60.124,3.5,0.586,0.008325
61.114,3.504,0.586,0.008458333333333333
62.12,3.504,0.586,0.0086
63.123,3.504,0.586,0.008733333333333334
64.129,3.508,0.586,0.008866666666666667
65.134,3.512,0.586,0.009008333333333333
66.137,3.512,0.586,0.009141666666666668
67.14,3.508,0.586,0.009275
68.132,3.512,0.586,0.009416666666666667
69.136,3.516,0.586,0.009550000000000001
70.14,3.52,0.586,0.009683333333333332
71.144,3.52,0.586,0.009824999999999999
72.146,3.52,0.586,0.009958333333333333
73.153,3.524,0.586,0.010091666666666665
74.144,3.524,0.586,0.010225
75.15,3.524,0.586,0.010366666666666666
76.148,3.528,0.586,0.010499999999999999
77.151,3.528,0.586,0.010633333333333333
78.152,3.528,0.586,0.010775
79.165,3.532,0.586,0.010908333333333332
80.155,3.536,0.586,0.011041666666666667
81.17,3.532,0.585,0.011183333333333333
82.159,3.536,0.585,0.011316666666666668
83.162,3.536,0.585,0.01145
84.168,3.54,0.586,0.011583333333333334
85.173,3.54,0.586,0.011725000000000001
86.167,3.544,0.586,0.011858333333333334
87.174,3.544,0.586,0.011991666666666668
88.168,3.548,0.586,0.012133333333333335
89.174,3.548,0.585,0.012266666666666667
90.186,3.548,0.585,0.012400000000000001
91.178,3.552,0.585,0.012541666666666668
92.184,3.552,0.585,0.012675
93.193,3.552,0.585,0.012808333333333333
94.188,3.552,0.585,0.012941666666666666
95.182,3.556,0.585,0.013083333333333332
96.191,3.56,0.585,0.013216666666666666
97.192,3.556,0.585,0.013349999999999999
98.191,3.56,0.585,0.013491666666666667
99.196,3.56,0.585,0.013625000000000002
100.193,3.56,0.585,0.013758333333333334
101.206,3.56,0.585,0.013891666666666668
102.207,3.56,0.585,0.014033333333333333
103.202,3.568,0.585,0.014166666666666666
104.201,3.564,0.585,0.0143
105.213,3.568,0.585,0.014441666666666665
106.215,3.572,0.585,0.014575
107.212,3.572,0.585,0.014708333333333332
108.211,3.572,0.585,0.014841666666666666
109.218,3.576,0.585,0.014983333333333333
110.22,3.572,0.585,0.015116666666666667
111.215,3.576,0.585,0.015250000000000001
112.226,3.576,0.585,0.015383333333333334
113.221,3.58,0.585,0.015524999999999999
114.233,3.58,0.585,0.015658333333333333
115.224,3.584,0.585,0.015791666666666666
116.225,3.58,0.585,0.015933333333333334
117.237,3.584,0.585,0.016066666666666667
118.236,3.584,0.585,0.016200000000000003
119.23,3.584,0.585,0.016333333333333335
120.243,3.588,0.585,0.016475
121.24,3.588,0.585,0.016608333333333333
122.24,3.588,0.585,0.016741666666666665
123.25,3.592,0.585,0.016875
124.248,3.592,0.585,0.01701666666666667
125.247,3.592,0.584,0.01715
126.254,3.592,0.584,0.01728333333333333
127.258,3.596,0.585,0.017425
128.253,3.596,0.584,0.017558333333333332
129.25,3.596,0.585,0.017691666666666668
130.255,3.6,0.584,0.017825
131.262,3.6,0.585,0.017966666666666666
132.261,3.6,0.584,0.018099999999999998
133.273,3.604,0.584,0.018233333333333334
134.268,3.604,0.584,0.018366666666666667
135.263,3.604,0.584,0.018508333333333335
136.268,3.604,0.584,0.018641666666666667
137.27,3.604,0.584,0.018775
138.268,3.608,0.584,0.018908333333333336
139.284,3.608,0.584,0.01905
140.281,3.608,0.584,0.019183333333333333
141.284,3.612,0.584,0.019316666666666666
142.278,3.612,0.584,0.01945
143.288,3.612,0.584,0.019591666666666667
144.296,3.616,0.584,0.019725000000000003
145.291,3.616,0.584,0.019858333333333332
146.288,3.62,0.584,0.02
147.288,3.616,0.584,0.020133333333333333
148.29,3.62,0.584,0.020266666666666665
149.294,3.624,0.584,0.0204
150.307,3.624,0.583,0.020533333333333334
151.304,3.624,0.584,0.020675
152.3,3.624,0.584,0.02080833333333333
153.306,3.624,0.584,0.020941666666666667
154.301,3.628,0.584,0.021075
155.31,3.624,0.584,0.02121666666666667
156.316,3.628,0.584,0.02135
157.318,3.628,0.584,0.021483333333333333
158.322,3.632,0.584,0.02161666666666667
159.324,3.632,0.584,0.021758333333333334
160.321,3.628,0.584,0.021891666666666667
161.317,3.632,0.584,0.022025
162.318,3.636,0.584,0.022158333333333332
163.331,3.636,0.584,0.0223
164.328,3.636,0.584,0.022433333333333336
165.326,3.636,0.583,0.022566666666666665
166.324,3.64,0.583,0.022699999999999998
167.338,3.636,0.584,0.022841666666666666
168.336,3.64,0.583,0.022975
169.344,3.64,0.584,0.023108333333333335
170.34,3.644,0.583,0.023241666666666667
171.337,3.644,0.584,0.023383333333333332
172.336,3.644,0.584,0.023516666666666665
173.347,3.644,0.584,0.02365
174.34,3.648,0.584,0.023783333333333333
175.352,3.648,0.583,0.023925000000000002
176.347,3.644,0.583,0.024058333333333334
177.357,3.644,0.583,0.024191666666666667
