time_s,voltage_V,current_A,soc_thuc
0,4.128,0,1
0,4.128,-0.0001,1
0,4.124,0.0001,1
0,4.124,0,1
0,4.124,-0.0001,1
0,4.124,-0.0002,1
0,4.128,0.0003,1
0,4.128,0,1
0,4.128,-0.0001,1
0,4.124,0.0001,1
0,4.124,0.0001,1
0.817,4.128,0,1
1.809,4.128,0,1
2.813,4.124,0,1
3.816,4.128,-0.0002,1
4.818,4.128,0.0001,1
5.808,4.128,0.0002,1
6.808,4.128,-0.0002,1
7.809,4.128,0.0001,1
8.809,4.124,0.0001,1
9.807,4.124,0.0001,1
10.81,4.124,0.0002,1
11.816,4.124,0.0001,1
12.821,4.128,0,1
13.81,4.132,-0.0001,1
14.819,4.124,0.0001,1
15.822,4.124,-0.0003,1
16.814,4.092,-0.3608,0.9999
17.808,4.124,-0.0001,0.9999
18.812,4.124,-0.0001,0.9999
19.822,4.124,0.0001,0.9999
20.814,4.088,-0.3611,0.9998
21.822,4.088,-0.3612,0.9997
22.81,4.084,-0.3611,0.9997
23.82,4.084,-0.361,0.9996
24.812,4.084,-0.3609,0.9995
25.818,4.08,-0.3609,0.9994
26.808,4.08,-0.3609,0.9993
27.813,4.08,-0.3606,0.9992
28.82,4.08,-0.3608,0.9992
29.811,4.08,-0.3606,0.9991
30.821,4.076,-0.3606,0.999
31.81,4.072,-0.3608,0.9989
32.812,4.076,-0.3607,0.9988
33.814,4.076,-0.3607,0.9987
34.815,4.076,-0.3602,0.9987
35.819,4.076,-0.3603,0.9986
36.817,4.072,-0.3606,0.9985
37.806,4.072,-0.3602,0.9984
38.807,4.072,-0.3599,0.9983
39.811,4.072,-0.3598,0.9982
40.818,4.068,-0.3598,0.9982
41.821,4.068,-0.36,0.9981
42.811,4.072,-0.3598,0.998
43.814,4.068,-0.3599,0.9979
44.821,4.068,-0.3599,0.9978
45.81,4.068,-0.3603,0.9977
46.817,4.068,-0.3597,0.9977
47.82,4.068,-0.3598,0.9976
48.812,4.068,-0.3599,0.9975
49.821,4.068,-0.3597,0.9974
50.81,4.064,-0.3596,0.9973
51.818,4.064,-0.3595,0.9972
52.81,4.064,-0.3596,0.9972
53.817,4.064,-0.3596,0.9971
54.808,4.064,-0.3596,0.997
55.815,4.064,-0.3596,0.9969
56.819,4.064,-0.3597,0.9968
57.81,4.064,-0.3596,0.9967
58.82,4.064,-0.3596,0.9967
59.807,4.06,-0.3592,0.9966
60.815,4.06,-0.3592,0.9965
61.82,4.056,-0.3592,0.9964
62.813,4.06,-0.3595,0.9963
63.815,4.064,-0.3593,0.9962
64.809,4.06,-0.3596,0.9962
65.814,4.06,-0.3592,0.9961
66.817,4.06,-0.359,0.996
67.808,4.06,-0.3592,0.9959
68.813,4.064,-0.3595,0.9958
69.818,4.056,-0.3589,0.9958
70.81,4.056,-0.3591,0.9957
71.816,4.06,-0.359,0.9956
72.807,4.056,-0.3589,0.9955
73.815,4.056,-0.3591,0.9954
74.805,4.056,-0.3592,0.9953
75.807,4.056,-0.3591,0.9953
76.806,4.056,-0.3591,0.9952
77.808,4.056,-0.3591,0.9951
78.805,4.056,-0.3588,0.995
79.806,4.052,-0.3588,0.9949
80.816,4.056,-0.359,0.9948
81.82,4.056,-0.3588,0.9948
82.813,4.056,-0.3589,0.9947
83.807,4.056,-0.3587,0.9946
84.817,4.052,-0.3589,0.9945
85.808,4.056,-0.3588,0.9944
86.815,4.052,-0.359,0.9943
87.807,4.052,-0.3585,0.9943
88.811,4.052,-0.3589,0.9942
89.818,4.052,-0.3588,0.9941
90.812,4.052,-0.3586,0.994
91.818,4.052,-0.3586,0.9939
92.808,4.052,-0.3587,0.9938
93.811,4.052,-0.3588,0.9938
94.814,4.052,-0.3587,0.9937
95.819,4.052,-0.3587,0.9936
96.81,4.052,-0.3586,0.9935
97.814,4.052,-0.3587,0.9934
98.818,4.052,-0.3585,0.9933
99.808,4.052,-0.3585,0.9933
100.811,4.052,-0.3585,0.9932
101.812,4.048,-0.3584,0.9931
102.809,4.048,-0.3586,0.993
103.814,4.048,-0.3586,0.9929
104.814,4.052,-0.3586,0.9928
105.809,4.052,-0.3586,0.9928
106.811,4.048,-0.3585,0.9927
107.811,4.048,-0.3586,0.9926
108.811,4.048,-0.3586,0.9925
109.811,4.048,-0.3585,0.9924
110.819,4.048,-0.3583,0.9923
111.815,4.048,-0.3586,0.9923
112.817,4.048,-0.3582,0.9922
113.819,4.048,-0.3583,0.9921
114.817,4.048,-0.3584,0.992
115.806,4.048,-0.3585,0.9919
116.82,4.048,-0.3583,0.9918
117.817,4.048,-0.3582,0.9918
118.805,4.048,-0.3581,0.9917
119.805,4.044,-0.3586,0.9916
120.805,4.048,-0.3583,0.9915
121.819,4.044,-0.3585,0.9914
122.817,4.048,-0.3582,0.9914
123.817,4.044,-0.3583,0.9913
124.817,4.044,-0.3582,0.9912
125.805,4.048,-0.358,0.9911
126.81,4.044,-0.3583,0.991
127.815,4.044,-0.3581,0.9909
128.818,4.044,-0.3581,0.9909
129.805,4.044,-0.3578,0.9908
130.808,4.044,-0.3584,0.9907
