time_s,voltage_V,current_A,soc_thuc,,Total_mAh
0,4.06,-330.4,0.995125833,,-5.849
0.002,4.064,-330.4,0.995049167,,-5.941
0.002,4.06,-330.5,0.9949725,,-6.033
0.002,4.06,-330.8,0.994896667,,-6.124
0.002,4.064,-330.4,0.99482,,-6.216
0.002,4.064,-330.7,0.994743333,,-6.308
0.002,4.064,-331.2,0.994666667,,-6.4
0.002,4.06,-331,0.99459,,-6.492
0.002,4.06,-331.2,0.994513333,,-6.584
0.002,4.06,-331.2,0.994436667,,-6.676
0.032,4.06,-330.5,0.99436,,-6.768
0.032,4.06,-330.5,0.994283333,,-6.86
0.032,4.06,-330.7,0.9942075,,-6.951
0.032,4.06,-330.3,0.994130833,,-7.043
0.032,4.06,-330.4,0.994054167,,-7.135
0.417,4.06,-330.7,0.9939775,,-7.227
1.416,4.06,-330.7,0.993900833,,-7.319
2.412,4.056,-331.2,0.993824167,,-7.411
3.425,4.056,-331.2,0.9937475,,-7.503
4.423,4.06,-331.1,0.993670833,,-7.595
5.421,4.056,-331.4,0.993594167,,-7.687
6.423,4.06,-331,0.9935175,,-7.779
7.419,4.06,-331.2,0.993440833,,-7.871
8.456,4.06,-331.3,0.993364167,,-7.963
9.417,4.056,-332.3,0.9932875,,-8.055
10.413,4.056,-332.2,0.993210833,,-8.147
11.414,4.056,-332.2,0.993133333,,-8.24
12.414,4.056,-332.3,0.993056667,,-8.332
13.426,4.056,-332.1,0.99298,,-8.424
14.422,4.056,-332,0.992903333,,-8.516
15.424,4.056,-332.1,0.992825833,,-8.609
16.425,4.056,-331.8,0.992749167,,-8.701
17.42,4.056,-331.8,0.9926725,,-8.793
18.413,4.056,-331.9,0.992595833,,-8.885
19.412,4.056,-331.7,0.992519167,,-8.977
20.422,4.056,-332.1,0.992441667,,-9.07
21.419,4.056,-332.1,0.992365,,-9.162
22.418,4.056,-332.1,0.992288333,,-9.254
23.421,4.052,-332,0.992211667,,-9.346
24.41,4.056,-332.3,0.992134167,,-9.439
25.411,4.056,-332,0.9920575,,-9.531
26.411,4.052,-332.2,0.991980833,,-9.623
27.414,4.056,-332.1,0.991904167,,-9.715
28.414,4.056,-332.3,0.991826667,,-9.808
29.421,4.056,-332.1,0.99175,,-9.9
30.419,4.052,-332,0.991673333,,-9.992
31.425,4.052,-332,0.991596667,,-10.084
32.42,4.052,-331.7,0.99152,,-10.176
33.415,4.052,-331.9,0.9914425,,-10.269
34.422,4.056,-331.9,0.991365833,,-10.361
35.416,4.052,-331.9,0.991289167,,-10.453
36.424,4.052,-331.9,0.9912125,,-10.545
37.423,4.056,-331.9,0.991135833,,-10.637
38.421,4.052,-332.4,0.991058333,,-10.73
39.414,4.052,-332.4,0.990981667,,-10.822
40.412,4.052,-332.4,0.990905,,-10.914
41.425,4.052,-332.4,0.9908275,,-11.007
42.421,4.052,-332.4,0.990750833,,-11.099
43.424,4.056,-332.5,0.990674167,,-11.191
44.413,4.052,-332.2,0.990596667,,-11.284
45.415,4.048,-332.5,0.99052,,-11.376
46.42,4.052,-332.1,0.990443333,,-11.468
47.419,4.048,-332.2,0.990365833,,-11.561
48.414,4.052,-332.4,0.990289167,,-11.653
49.417,4.048,-332.4,0.9902125,,-11.745
50.418,4.048,-332.4,0.990135,,-11.838
51.418,4.048,-332.4,0.990058333,,-11.93
52.412,4.052,-332.7,0.989981667,,-12.022
