[2026-01-14 01:27:14.143] V: 4.1480V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.143] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.143] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.143] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.160] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.160] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.160] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.160] V: 4.1520V | I: 0.4000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.160] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.162] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.162] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.162] V: 4.1520V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.162] V: 4.1520V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.174] V: 4.1520V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.175] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.175] V: 4.1480V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.175] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.175] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.175] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.175] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.175] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.189] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.189] V: 4.1520V | I: 0.3000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.189] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.189] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.189] V: 4.1480V | I: 0.0000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.190] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.190] V: 4.1480V | I: 0.4000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.191] V: 4.1520V | I: 0.4000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.191] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.200] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.200] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.200] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.200] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.200] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:14.635] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:15.139] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:15.629] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:16.128] V: 4.1480V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:16.626] V: 4.1520V | I: 0.4000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:17.132] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:17.631] V: 4.1520V | I: 0.1000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:18.132] V: 4.1480V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:18.634] V: 4.1520V | I: 0.2000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
[2026-01-14 01:27:19.129] V: 4.1520V | I: 0.4000mA | Chu ky: 0.00/120mAh | Tong: 0.00mAh | Tinh trang: DANG XA
